127.0.0.1, 2018-04-02 10:31:07, GET, /, HTTP/1.1, 303, 0.010000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/default/index, HTTP/1.1, 200, 2.202000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:31:10, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:31:20, GET, /admin/default/index, HTTP/1.1, 200, 0.287000
127.0.0.1, 2018-04-02 10:31:20, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:31:20, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:31:20, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-02 10:31:20, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-02 10:31:20, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-02 10:31:20, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:31:20, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:31:20, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-02 10:31:20, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-02 10:31:20, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
